Items,DMG Price,DMPG Price,Rarity,Sane Price,Stat Block,Type,XGE Price
Wingwear,101-500,300,Uncommon,, https://www.dndbeyond.com/magic-items/wingwear,Wondrous Items: Body,100-600
Arcane Cannon,5001-50000,"6,500",Very Rare,, https://www.dndbeyond.com/magic-items/arcane-cannon,Wondrous Item,20000-50000
Dark Shard Amulet,50-100,75,Common,, https://www.dndbeyond.com/magic-items/dark-shard-amulet,Wondrous Items: Neck,20-70
Shavarran Birch Focus,50-100,,Common,, https://www.dndbeyond.com/magic-items/shavarran-birch-focus,Wondrous Items,20-70
"Dekella, Bident of Thassa",Priceless,,Artifact,, https://www.dndbeyond.com/magic-items/dekella-bident-of-thassa,Weapons,Priceless
Potion Of Healing (Superior),5001-50000,750,Very Rare,450, https://www.dndbeyond.com/magic-items/potion-of-healing,Potions & Oils,20000-50000
Amulet Of Proof Against Detection And Location,101-500,400,Uncommon,"20,000", https://www.dndbeyond.com/magic-items/amulet-of-proof-against-detection-and-location,Wondrous Items: Neck,100-600
Ammunition +1 (Ea),101-500,50,Uncommon,25, https://www.dndbeyond.com/magic-items/ammunition-1,Ammunition,100-600
Instant Fortress,501-5000,"5,000",Rare,, https://www.dndbeyond.com/magic-items/instant-fortress,Wondrous Items,2000-20000
Quaals Feather Token (Bird),501-5000,"1,000",Rare,"3,000", https://www.dndbeyond.com/magic-items/quaals-feather-token,Wondrous Items,2000-20000
Rings Of Shared Suffering,101-500,,Uncommon,, https://www.dndbeyond.com/magic-items/rings-of-shared-suffering,Rings,100-600
Spell Scroll (Level 8),5001-50000,"5,000",Very Rare,"5,120", https://www.dndbeyond.com/magic-items/spell-scroll,Spell Scrolls,20000-50000
Finders Goggles,101-500,500,Uncommon,, https://www.dndbeyond.com/magic-items/finders-goggles,Wondrous Items,100-600
Earworm,101-500,225,Uncommon,, https://www.dndbeyond.com/magic-items/earworm,Wondrous Items,100-600
Potion of Aqueous Form,501-5000,"1,000",Rare,, https://www.dndbeyond.com/magic-items/potion-of-aqueous-form,Potions & Oils,2000-20000
Ioun Stone (Awareness),501-5000,"4,000",Rare,"12,000", https://www.dndbeyond.com/magic-items/ioun-stone,Wondrous Items: Head,2000-20000
Ring Of Elemental Command,50001+,"200,000",Legendary,, https://www.dndbeyond.com/magic-items/ring-of-elemental-command,Rings,50000-300000
Red Dragon Mask,50001+,,Legendary,, https://www.dndbeyond.com/magic-items/red-dragon-mask,Wondrous Items,50000-300000
Armor Of Vulnerability,501-5000,"1,500",Rare,, https://www.dndbeyond.com/magic-items/armor-of-vulnerability,Armor,2000-20000
Eagle Whistle,501-5000,600,Rare,, https://www.dndbeyond.com/magic-items/eagle-whistle,Wondrous Items,2000-20000
Ring Of Regeneration,5001-50000,"40,000",Very Rare,"12,000", https://www.dndbeyond.com/magic-items/ring-of-regeneration,Rings,20000-50000
Master's Amulet,501-5000,,Rare,, https://www.dndbeyond.com/magic-items/masters-amulet,Wondrous Items,2000-20000
Censer Of Controlling Air Elementals,501-5000,"4,700",Rare,"8,000", https://www.dndbeyond.com/magic-items/censer-of-controlling-air-elementals,Wondrous Items,2000-20000
Docent,501-5000,"4,500",Rare,, https://www.dndbeyond.com/magic-items/docent,Wondrous Items,2000-20000
Horseshoes Of Speed,501-5000,"3,000",Rare,"5,000", https://www.dndbeyond.com/magic-items/horseshoes-of-speed,Wondrous Items,2000-20000
Planecaller's Codex,501-5000,,Rare,, https://www.dndbeyond.com/magic-items/planecallers-codex,Wondrous Items,2000-20000
Spell Scroll (Level 5),501-5000,"1,500",Rare,640, https://www.dndbeyond.com/magic-items/spell-scroll,Spell Scrolls,2000-20000
Adamantine Armor,101-500,+500,Uncommon,500, https://www.dndbeyond.com/magic-items/adamantine-armor,Armor,100-600
Dagger Of Blindsight,501-5000,,Rare,, https://www.dndbeyond.com/magic-items/dagger-of-blindsight,Weapons,2000-20000
Pyxis of Pandemonium,50001+,"25,000",Legendary,, https://www.dndbeyond.com/magic-items/pyxis-of-pandemonium,Wondrous Items,50000-300000
Ring Of Water Elemental Command,50001+,"200,000",Legendary,"25,000", https://www.dndbeyond.com/magic-items/ring-of-water-elemental-command,Rings,50000-300000
Smoldering Armor,50-100,+75,Common,, https://www.dndbeyond.com/magic-items/smoldering-armor,Armor,20-70
Talisman Of The Sphere,50001+,"75,000",Legendary,"20,000", https://www.dndbeyond.com/magic-items/talisman-of-the-sphere,Wondrous Items,50000-300000
Mirror Of Life Trapping,5001-50000,"50,000",Very Rare,"18,000", https://www.dndbeyond.com/magic-items/mirror-of-life-trapping,Wondrous Items,20000-50000
Voyager Staff,5001-50000,"10,500",Very Rare,, https://www.dndbeyond.com/magic-items/voyager-staff,Staffs,20000-50000
"Spell Gem (Quartz ,Level 2)",501-5000,"1,500",Rare,, https://www.dndbeyond.com/magic-items/spell-gem-quartz,Spell Gems,2000-20000
Orb Of Time,50-100,50,Common,, https://www.dndbeyond.com/magic-items/orb-of-time,Wondrous Items,20-70
Staff Of Fire,5001-50000,"18,000",Very Rare,"16,000", https://www.dndbeyond.com/magic-items/staff-of-fire,Staffs,20000-50000
Moodmark Paint,50-100,50,Common,, https://www.dndbeyond.com/magic-items/moodmark-paint,Wondrous Items,20-70
Lightbringer,101-500,,Uncommon,, https://www.dndbeyond.com/magic-items/lightbringer,Weapons,100-600
Absorbing Tattoo,5001-50000,,Very Rare,, https://www.dndbeyond.com/magic-items/absorbing-tattoo,Wondrous Items,20000-50000
Eversmoking Bottle,101-500,270,Uncommon,"1,000", https://www.dndbeyond.com/magic-items/eversmoking-bottle,Wondrous Items,100-600
Gauntlets Of Flaming Fury,501-5000,"2,000",Rare,, https://www.dndbeyond.com/magic-items/gauntlets-of-flaming-fury,Wondrous Items,2000-20000
Ruin's Wake,Priceless,,Artifact,, https://www.dndbeyond.com/magic-items/ruins-wake,Weapons,Priceless
Horn Of Blasting,501-5000,"2,500",Rare,450, https://www.dndbeyond.com/magic-items/horn-of-blasting,Wondrous Items,2000-20000
Matalotok,50001+,"70,000",Legendary,, https://www.dndbeyond.com/magic-items/matalotok,Weapons,50000-300000
Necklace Of Adaptation,101-500,450,Uncommon,"1,500", https://www.dndbeyond.com/magic-items/necklace-of-adaptation,Wondrous Items: Neck,100-600
Instrument of the Bards (Canaith Mandolin),501-5000,3750,Rare,"30,000", https://www.dndbeyond.com/magic-items/canaith-mandolin,Wondrous Items,2000-20000
Spell Scroll (Level 9),50001+,"20,000",Legendary,"10,240", https://www.dndbeyond.com/magic-items/spell-scroll,Spell Scrolls,50000-300000
Gnomengarde Grenade,Varies,,Varies,, https://www.dndbeyond.com/magic-items/gnomengarde-grenade,Wondrous Items,Varies
Stone Of Golorr,Priceless,,Artifact,, https://www.dndbeyond.com/magic-items/stone-of-golorr,Wondrous Items,Priceless
Mabaran Ebony Focus,50-100,,Common,, https://www.dndbeyond.com/magic-items/mabaran-ebony-focus,Wondrous Items,20-70
Nature's Mantle,101-500,,Uncommon,, https://www.dndbeyond.com/magic-items/natures-mantle,Wondrous Items,100-600
Figurine of Wondrous Power (Ivory Goats - Travail),501-5000,"5,000",Rare,400, https://www.dndbeyond.com/magic-items/figurine-of-wondrous-power,Wondrous Items,2000-20000
Dyrrns Tentacle Whip,5001-50000,"17,000",Very Rare,, https://www.dndbeyond.com/magic-items/dyrrns-tentacle-whip,Weapons,20000-50000
Shield Of The Uven Rune,5001-50000,,Very Rare,, https://www.dndbeyond.com/magic-items/shield-of-the-uven-rune,Shields,20000-50000
Amulet Of Health,501-5000,"4,000",Rare,"8,000", https://www.dndbeyond.com/magic-items/amulet-of-health,Wondrous Items: Neck,2000-20000
Mirror Of The Past,501-5000,"3,800",Rare,, https://www.dndbeyond.com/magic-items/mirror-of-the-past,Wondrous Items,2000-20000
Dread Helm,50-100,55,Common,, https://www.dndbeyond.com/magic-items/dread-helm,Wondrous Items: Head,20-70
Soul Coin,101-500,250,Uncommon,, https://www.dndbeyond.com/magic-items/soul-coin,Wondrous Items,100-600
Feather Token,501-5000,25,Rare,, https://www.dndbeyond.com/magic-items/feather-token,Wondrous Items,2000-20000
Ventilating Lungs,501-5000,"1,000",Rare,, https://www.dndbeyond.com/magic-items/ventilating-lungs,Wondrous Items,2000-20000
Rope Of Climbing,101-500,350,Uncommon,"2,000", https://www.dndbeyond.com/magic-items/rope-of-climbing,Wondrous Items,100-600
Folding Boat,501-5000,"4,750",Rare,"10,000", https://www.dndbeyond.com/magic-items/folding-boat,Wondrous Items,2000-20000
Shatterspike (longsword),101-500,550,Uncommon,, https://www.dndbeyond.com/magic-items/shatterspike,Weapons,100-600
Mariner's Armor,101-500,+400,Uncommon,"1,500", https://www.dndbeyond.com/magic-items/mariners-armor,Armor,100-600
Wand Of Magic Missiles,101-500,300,Uncommon,"8,000", https://www.dndbeyond.com/magic-items/wand-of-magic-missiles,Wands,100-600
Mabaran Resonator,50001+,,Legendary,, https://www.dndbeyond.com/magic-items/mabaran-resonator,Wondrous Items,50000-300000
Insignia Of Claws,101-500,450,Uncommon,, https://www.dndbeyond.com/magic-items/insignia-of-claws,Wondrous Items,100-600
Coiling Grasp Tattoo,101-500,,Uncommon,, https://www.dndbeyond.com/magic-items/coiling-grasp-tattoo,Wondrous Items,100-600
Cauldron of Rebirth,5001-50000,,Very Rare,, https://www.dndbeyond.com/magic-items/cauldron-of-rebirth,Wondrous Items,20000-50000
Sword Of Wounding (any sword),501-5000,"1,200",Rare,"2,000", https://www.dndbeyond.com/magic-items/sword-of-wounding,Weapons,2000-20000
Greater Silver Sword,50001+,,Legendary,, https://www.dndbeyond.com/magic-items/greater-silver-sword,Weapons,50000-300000
Ioun Stone (Greater Absorption),50001+,"60,000",Legendary,"31,000", https://www.dndbeyond.com/magic-items/ioun-stone,Wondrous Items: Head,50000-300000
Potion Of Resistance,101-500,500,Uncommon,300, https://www.dndbeyond.com/magic-items/potion-of-resistance,Potions & Oils,100-600
Black Dragon Mask,50001+,"95,000",Legendary,, https://www.dndbeyond.com/magic-items/black-dragon-mask,Wondrous Items: Eyes,50000-300000
Tinderstrike (dagger),50001+,"71,000",Legendary,, https://www.dndbeyond.com/magic-items/tinderstrike,Weapons,50000-300000
Broom Of Flying,101-500,450,Uncommon,"8,000", https://www.dndbeyond.com/magic-items/broom-of-flying,Wondrous Items,100-600
Ring Of Swimming,101-500,300,Uncommon,"3,000", https://www.dndbeyond.com/magic-items/ring-of-swimming,Rings,100-600
Boots Of Striding And Springing,101-500,200,Uncommon,"5,000", https://www.dndbeyond.com/magic-items/boots-of-striding-and-springing,Wondrous Items: Feet,100-600
"Spell Gem (Bloodstone, Level 3)",501-5000,"4,000",Rare,, https://www.dndbeyond.com/magic-items/spell-gem-bloodstone,Spell Gems,2000-20000
Helm Of The Scavenger,50001+,,Legendary,, https://www.dndbeyond.com/magic-items/helm-of-the-scavenger,Wondrous Items,50000-300000
Hew,101-500,,Uncommon,, https://www.dndbeyond.com/magic-items/hew,Weapons,100-600
Berserker Axe,501-5000,"2,000",Rare,, https://www.dndbeyond.com/magic-items/berserker-axe,Weapons,2000-20000
Mace Of Smiting,501-5000,"2,000",Rare,"7,000", https://www.dndbeyond.com/magic-items/mace-of-smiting,Weapons,2000-20000
Guardian Emblem,101-500,,Uncommon,, https://www.dndbeyond.com/magic-items/guardian-emblem,Wondrous Items,100-600
Speaking Stone,501-5000,"5,000",Rare,, https://www.dndbeyond.com/magic-items/speaking-stone,Wondrous Items,2000-20000
Walloping Ammunition,50-100,30,Common,, https://www.dndbeyond.com/magic-items/walloping-ammunition,Ammunition,20-70
Chest Of Preserving,50-100,,Common,, https://www.dndbeyond.com/magic-items/chest-of-preserving,Wondrous Items,20-70
Ingot Of The Skold Rune,5001-50000,"15,000",Very Rare,, https://www.dndbeyond.com/magic-items/ingot-of-the-skold-rune,Wondrous Items,20000-50000
Rotor Of Return,5001-50000,"2,500",Very Rare,, https://www.dndbeyond.com/magic-items/rotor-of-return,Wondrous Items,20000-50000
Ioun Stone (Sustenance),501-5000,"3,000",Rare,"1,000", https://www.dndbeyond.com/magic-items/ioun-stone,Wondrous Items: Head,2000-20000
Wand Of Entangle,101-500,300,Uncommon,, https://www.dndbeyond.com/magic-items/wand-of-entangle,Wands,100-600
Rod Of The Vonindod,501-5000,"3,400",Rare,, https://www.dndbeyond.com/magic-items/rod-of-the-vonindod,Rods,2000-20000
Pipe Of Remembrance,50-100,50,Common,, https://www.dndbeyond.com/magic-items/pipe-of-remembrance,Wondrous Items,20-70
Ammunition +3 (Ea),5001-50000,"2,500",Very Rare,400, https://www.dndbeyond.com/magic-items/ammunition-3,Ammunition,20000-50000
Alchemical Compendium,501-5000,,Rare,, https://www.dndbeyond.com/magic-items/alchemical-compendium,Wondrous Items,2000-20000
Ring Of Feather Falling,501-5000,"2,200",Rare,"2,000", https://www.dndbeyond.com/magic-items/ring-of-feather-falling,Rings,2000-20000
Elven Chain,501-5000,"4,500",Rare,"4,000", https://www.dndbeyond.com/magic-items/elven-chain,Armor,2000-20000
Blast Scepter,5001-50000,,Very Rare,, https://www.dndbeyond.com/magic-items/blast-scepter,Rods,20000-50000
Pole Of Collapsing,50-100,55,Common,, https://www.dndbeyond.com/magic-items/pole-of-collapsing,Wondrous Items,20-70
Potion Of Giant Strength (Storm),50001+,"8,000",Legendary,, https://www.dndbeyond.com/magic-items/potion-of-giant-strength,Potions & Oils,50000-300000
Bracers Of Archery,101-500,350,Uncommon,"1,500", https://www.dndbeyond.com/magic-items/bracers-of-archery,Wondrous Items: Arms & Wrists,100-600
Spell Bottle,50001+,"75,000",Legendary,, https://www.dndbeyond.com/magic-items/spell-bottle,Wondrous Item,50000-300000
Perfume Of Bewitching,50-100,75,Common,, https://www.dndbeyond.com/magic-items/perfume-of-bewitching,Potions & Oils,20-70
Scroll of Tarrasque Summoning,50001+,,Legendary,, https://www.dndbeyond.com/magic-items/scroll-of-tarrasque-summoning,Spell Scrolls,50000-300000
Wand Of Paralysis,501-5000,"4,250",Rare,"16,000", https://www.dndbeyond.com/magic-items/wand-of-paralysis,Wands,2000-20000
Potion Of Gaseous Form,501-5000,"1,500",Rare,300, https://www.dndbeyond.com/magic-items/potion-of-gaseous-form,Potions & Oils,2000-20000
Devastation Orb (Earth),5001-50000,"11,000",Very Rare,, https://www.dndbeyond.com/magic-items/devastation-orb,Wondrous Items,20000-50000
Rakdos Riteknife (dagger),50001+,"60,000",Legendary,, https://www.dndbeyond.com/magic-items/rakdos-riteknife,Weapons,50000-300000
Wand Of The War Mage +2,501-5000,"4,000",Rare,"4,800", https://www.dndbeyond.com/magic-items/wand-of-the-war-mage,Wands,2000-20000
Chronolometer,5001-50000,"12,500",Very Rare,, https://www.dndbeyond.com/magic-items/chronolometer,Wondrous Items,20000-50000
Knave's Eye Patch,501-5000,"2,000",Rare,, https://www.dndbeyond.com/magic-items/knaves-eye-patch,Wondrous Items: Head,2000-20000
Staff Of The Adder,101-500,350,Uncommon,"1,800", https://www.dndbeyond.com/magic-items/staff-of-the-adder,Staffs,100-600
Holy Avenger (any sword),50001+,"65,000",Legendary,"165,000", https://www.dndbeyond.com/magic-items/holy-avenger,Weapons,50000-300000
Ear Horn Of Hearing,50-100,75,Common,, https://www.dndbeyond.com/magic-items/ear-horn-of-hearing,Wondrous Items,20-70
Ruinstone,Priceless,,Artifact,, https://www.dndbeyond.com/magic-items/ruinstone,,Priceless
Restorative Ointment,101-500,,Uncommon,, https://www.dndbeyond.com/magic-items/restorative-ointment,Wondrous Items,100-600
Staff Of Swarming Insects,501-5000,"4,500",Rare,"16,000", https://www.dndbeyond.com/magic-items/staff-of-swarming-insects,Staffs,2000-20000
Navigation Orb,5001-50000,"27,000",Very Rare,, https://www.dndbeyond.com/magic-items/navigation-orb,Wondrous Items,20000-50000
Crystal Ball Of Mind Reading,50001+,"51,000",Legendary,, https://www.dndbeyond.com/magic-items/crystal-ball-of-mind-reading,Wondrous Items,50000-300000
Ioun Stone (Mastery),50001+,"60,000",Legendary,"15,000", https://www.dndbeyond.com/magic-items/ioun-stone,Wondrous Items: Head,50000-300000
Staff Of Healing,501-5000,"4,800",Rare,"13,000", https://www.dndbeyond.com/magic-items/staff-of-healing,Staffs,2000-20000
Veteran's Cane,50-100,50,Common,, https://www.dndbeyond.com/magic-items/veterans-cane,Weapons,20-70
Arcane Propulsion Arm,5001-50000,"5,100",Very Rare,, https://www.dndbeyond.com/magic-items/arcane-propulsion-arm,Wondrous Items,20000-50000
Bloodaxe,5001-50000,"27,000",Very Rare,, https://www.dndbeyond.com/magic-items/bloodaxe,Weapons,20000-50000
Potion Of Giant Size,50001+,"11,000",Legendary,, https://www.dndbeyond.com/magic-items/potion-of-giant-size,Potions & Oils,50000-300000
Gulthias Staff,501-5000,"2,200",Rare,, https://www.dndbeyond.com/magic-items/gulthias-staff,Staffs,2000-20000
Cleansing Stone,50-100,50,Common,, https://www.dndbeyond.com/magic-items/cleansing-stone,Wondrous Items,20-70
Tome Of Clear Thought,5001-50000,"36,000",Very Rare,, https://www.dndbeyond.com/magic-items/tome-of-clear-thought,Wondrous Items,20000-50000
Crystal Ball Of Telepathy,50001+,"70,000",Legendary,, https://www.dndbeyond.com/magic-items/crystal-ball-of-telepathy,Wondrous Items,50000-300000
Dimensional Loop,5001-50000,"6,000",Very Rare,, https://www.dndbeyond.com/magic-items/dimensional-loop,Wondrous Items,20000-50000
Apparatus Of Kwalish,50001+,"90,000",Legendary,"10,000", https://www.dndbeyond.com/magic-items/apparatus-of-kwalish,Wondrous Items,50000-300000
Obsidian Flint Dragon Plate,50001+,"27,000",Legendary,, https://www.dndbeyond.com/magic-items/obsidian-flint-dragon-plate,Armor,50000-300000
Vicious Weapon (any weapon),501-5000,"4,000",Rare,350, https://www.dndbeyond.com/magic-items/vicious-weapon,Weapons,2000-20000
Gamblers Blade,501-5000,,Rare,, https://www.dndbeyond.com/magic-items/gamblers-blade,Weapons,2000-20000
Crystal Ball Of True Seeing,50001+,"80,000",Legendary,, https://www.dndbeyond.com/magic-items/crystal-ball-of-true-seeing,Wondrous Items,50000-300000
Spell Sink,50001+,,Legendary,, https://www.dndbeyond.com/magic-items/spell-sink,Wondrous Items,50000-300000
Scarab Of Protection,50001+,"58,000",Legendary,"36,000", https://www.dndbeyond.com/magic-items/scarab-of-protection,Wondrous Items: Neck,50000-300000
Keycharm,50-100,50,Common,, https://www.dndbeyond.com/magic-items/keycharm,Wondrous Items,20-70
Living Loot Satchel,Varies,,Varies,, https://www.dndbeyond.com/magic-items/living-loot-satchel,Wondrous Items,Varies
Far Gear,5001-50000,"7,500",Very Rare,, https://www.dndbeyond.com/magic-items/far-gear,Wondrous Items,20000-50000
Mind Blade,501-5000,,Rare,, https://www.dndbeyond.com/magic-items/mind-blade,Weapons,2000-20000
Tome Of The Stilled Tongue,50001+,"60,000",Legendary,, https://www.dndbeyond.com/magic-items/tome-of-the-stilled-tongue,Wondrous Items,50000-300000
"Akmon, Hammer of Purphoros",Priceless,,Artifact,, https://www.dndbeyond.com/magic-items/akmon-hammer-of-purphoros,Weapons,Priceless
Devastation Orb (Air),5001-50000,"8,000",Very Rare,, https://www.dndbeyond.com/magic-items/devastation-orb,Wondrous Items,20000-50000
Scribes Pen,50-100,60,Common,, https://www.dndbeyond.com/magic-items/scribes-pen,Wondrous Items,20-70
Repeating Shot Weapon,Varies,,Varies,, https://www.dndbeyond.com/magic-items/repeating-shot-weapon,Weapons,Varies
Potion Of Mind Reading,501-5000,"1,100",Rare,180, https://www.dndbeyond.com/magic-items/potion-of-mind-reading,Potions & Oils,2000-20000
Instrument of the Bards (Mac-Fuirmidh Cittern),101-500,450,Uncommon,"27,000", https://www.dndbeyond.com/magic-items/mac-fuirmidh-cittern,Wondrous Items,100-600
Cape Of The Mountebank,501-5000,"3,900",Rare,"8,000", https://www.dndbeyond.com/magic-items/cape-of-the-mountebank,Wondrous Items: Shoulders,2000-20000
Necklace of Fireballs (1 Bead),501-5000,725,Rare,300, https://www.dndbeyond.com/magic-items/necklace-of-fireballs,Wondrous Items: Neck,2000-20000
Devastation Orb (Fire),5001-50000,"9,500",Very Rare,, https://www.dndbeyond.com/magic-items/devastation-orb,Wondrous Items,20000-50000
Sword Of The Paruns (longsword),5001-50000,"16,000",Very Rare,, https://www.dndbeyond.com/magic-items/sword-of-the-paruns,Weapons,20000-50000
Pennant Of The Vind Rune,5001-50000,"13,000",Very Rare,, https://www.dndbeyond.com/magic-items/pennant-of-the-vind-rune,Wondrous Items,20000-50000
Quaals Feather Token (Whip),501-5000,"1,000",Rare,250, https://www.dndbeyond.com/magic-items/quaals-feather-token,Wondrous Items,2000-20000
Orb Of Shielding,50-100,80,Common,, https://www.dndbeyond.com/magic-items/orb-of-shielding,Wondrous Items,20-70
Efreeti Bottle,5001-50000,"45,000",Very Rare,, https://www.dndbeyond.com/magic-items/efreeti-bottle,Wondrous Items,20000-50000
Fernian Ash Focus,50-100,,Common,, https://www.dndbeyond.com/magic-items/fernian-ash-focus,Wondrous Items,20-70
Boomerang +3,501-5000,,Rare,, https://www.dndbeyond.com/magic-items/boomerang-3,Weapons,2000-20000
Sun Blade (longsword),501-5000,"2,000",Rare,"12,000", https://www.dndbeyond.com/magic-items/sun-blade,Weapons,2000-20000
Crook of Rao,Priceless,,Artifact,, https://www.dndbeyond.com/magic-items/crook-of-rao,Wondrous Items,Priceless
Horn Of Valhalla (Brass),501-5000,"5,000",Rare,"8,400", https://www.dndbeyond.com/magic-items/horn-of-valhalla,Wondrous Items,2000-20000
Shavaran Birch Focus,50-100,,Common,, https://www.dndbeyond.com/magic-items/shavaran-birch-focus,Wondrous Items,20-70
Animated Shield,5001-50000,"6,000",Very Rare,"6,000", https://www.dndbeyond.com/magic-items/animated-shield,Shields,20000-50000
Staff Of Power,5001-50000,"46,000",Very Rare,"95,500", https://www.dndbeyond.com/magic-items/staff-of-power,Staffs,20000-50000
Iron Flask,50001+,"170,000",Legendary,, https://www.dndbeyond.com/magic-items/iron-flask,Wondrous Items,50000-300000
Balloon Pack,101-500,275,Uncommon,, https://www.dndbeyond.com/magic-items/balloon-pack,Wondrous Items,100-600
Wreath of the Prism,50001+,,Legendary,, https://www.dndbeyond.com/magic-items/wreath-of-the-prism,Wondrous Item,50000-300000
Eldritch Claw Tattoo,101-500,,Uncommon,, https://www.dndbeyond.com/magic-items/eldritch-claw-tattoo,Wondrous Items,100-600
Robe Of Eyes,501-5000,"5,000",Rare,"30,000", https://www.dndbeyond.com/magic-items/robe-of-eyes,Wondrous Items: Body,2000-20000
Kythrian Manchineel Focus,50-100,,Common,, https://www.dndbeyond.com/magic-items/kythrian-manchineel-focus,Wondrous Items,20-70
Sling Bullets of Althemone,5001-50000,"5,500",Very Rare,, https://www.dndbeyond.com/magic-items/sling-bullets-of-althemone,Weapons,20000-50000
Dragonstaff Of Ahghairon,50001+,"50,500",Legendary,, https://www.dndbeyond.com/magic-items/dragonstaff-of-ahghairon,Staffs,50000-300000
Molten Bronze Skin,501-5000,"+1,300",Rare,, https://www.dndbeyond.com/magic-items/molten-bronze-skin,Armor,2000-20000
Propeller Helm,101-500,,Uncommon,, https://www.dndbeyond.com/magic-items/propeller-helm,Wondrous Items,100-600
Potion Of Heroism,501-5000,800,Rare,180, https://www.dndbeyond.com/magic-items/potion-of-heroism,Potions & Oils,2000-20000
Last Stand Armor,5001-50000,"6,500",Very Rare,, https://www.dndbeyond.com/magic-items/last-stand-armor,Armor,20000-50000
Shiftweave,50-100,100,Common,, https://www.dndbeyond.com/magic-items/shiftweave,Wondrous Items,20-70
Instrument Of Illusions,50-100,100,Common,, https://www.dndbeyond.com/magic-items/instrument-of-illusions,Wondrous Items,20-70
Cloak Of Invisibility,50001+,"54,000",Legendary,"80,000", https://www.dndbeyond.com/magic-items/cloak-of-invisibility,Wondrous Items: Shoulders,50000-300000
Staff of the Ivory Claw,501-5000,"1,000",Rare,, https://www.dndbeyond.com/magic-items/staff-of-the-ivory-claw,Staffs,2000-20000
Potion Of Giant Strength (Frost/Stone),501-5000,650,Rare,, https://www.dndbeyond.com/magic-items/potion-of-giant-strength,Potions & Oils,2000-20000
Cloak Of Protection,101-500,400,Uncommon,"3,500", https://www.dndbeyond.com/magic-items/cloak-of-protection,Wondrous Items: Shoulders,100-600
Potion Of Giant Strength (Cloud),5001-50000,"1,800",Very Rare,, https://www.dndbeyond.com/magic-items/potion-of-giant-strength,Potions & Oils,20000-50000
Potion Of Invisibility,5001-50000,"2,000",Very Rare,180, https://www.dndbeyond.com/magic-items/potion-of-invisibility,Potions & Oils,20000-50000
Charm Of Plant Command,501-5000,"1,500",Rare,, https://www.dndbeyond.com/magic-items/charm-of-plant-command,Wondrous Items,2000-20000
Ring Of Spell Turning,50001+,"66,000",Legendary,"30,000", https://www.dndbeyond.com/magic-items/ring-of-spell-turning,Rings,50000-300000
Spear Of Backbiting (javelin or spear),5001-50000,"6,500",Very Rare,, https://www.dndbeyond.com/magic-items/spear-of-backbiting,Weapons,20000-50000
Dancing Sword (any sword),5001-50000,"10,000",Very Rare,"2,000", https://www.dndbeyond.com/magic-items/dancing-sword,Weapons,20000-50000
Orb Of Dragonkind,Priceless,,Artifact,, https://www.dndbeyond.com/magic-items/orb-of-dragonkind,Wondrous Items,Priceless
Ioun Stone (Protection),501-5000,"3,600",Rare,"1,200", https://www.dndbeyond.com/magic-items/ioun-stone,Wondrous Items: Head,2000-20000
Spell Scroll (Level 0),50-100,15,Common,10, https://www.dndbeyond.com/magic-items/spell-scroll,Spell Scrolls,20-70
Headband Of Intellect,101-500,450,Uncommon,"8,000", https://www.dndbeyond.com/magic-items/headband-of-intellect,Wondrous Items: Head,100-600
Pipe Of Smoke Monsters,50-100,50,Common,, https://www.dndbeyond.com/magic-items/pipe-of-smoke-monsters,Wondrous Items,20-70
Smokepowder,101-500,325,Uncommon,, https://www.dndbeyond.com/magic-items/smokepowder,Wondrous Items,100-600
Wand Of Polymorph,5001-50000,"21,000",Very Rare,"32,000", https://www.dndbeyond.com/magic-items/wand-of-polymorph,Wands,20000-50000
Master's Call,50001+,,Legendary,, https://www.dndbeyond.com/magic-items/masters-call,Wondrous Items,50000-300000
Armor Of Gleaming (any medium or heavy),50-100,75,Common,, https://www.dndbeyond.com/magic-items/armor-of-gleaming,Armor,20-70
Scroll of the Comet,50001+,,Legendary,, https://www.dndbeyond.com/magic-items/scroll-of-the-comet,Spell Scrolls,50000-300000
Scribe's Pen,50-100,60,Common,, https://www.dndbeyond.com/magic-items/scribes-pen,Wondrous Items,20-70
Bloodwell Vial,Varies,,Varies,, https://www.dndbeyond.com/magic-items/bloodwell-vial,Wondrous Items,Varies
Ring Of Djinni Summoning,50001+,"125,000",Legendary,, https://www.dndbeyond.com/magic-items/ring-of-djinni-summoning,Rings,50000-300000
Periapt Of Proof Against Poison,501-5000,"4,700",Rare,"5,000", https://www.dndbeyond.com/magic-items/periapt-of-proof-against-poison,Wondrous Items: Neck,2000-20000
Wand Of Scowls,50-100,60,Common,, https://www.dndbeyond.com/magic-items/wand-of-scowls,Wands,20-70
Guild Keyrune (Gruul),501-5000,"2,800",Rare,, https://www.dndbeyond.com/magic-items/guild-keyrune,Wondrous Items,2000-20000
Wings Of Flying,501-5000,"3,600",Rare,"5,000", https://www.dndbeyond.com/magic-items/wings-of-flying,Wondrous Items: Shoulders,2000-20000
Dust Of Disappearance,101-500,200,Uncommon,300, https://www.dndbeyond.com/magic-items/dust-of-disappearance,Wondrous Items,100-600
Bell Branch,501-5000,,Rare,, https://www.dndbeyond.com/magic-items/bell-branch,Wondrous Items,2000-20000
Banner Of The Krig Rune,501-5000,"4,400",Rare,, https://www.dndbeyond.com/magic-items/banner-of-the-krig-rune,Wondrous Items,2000-20000
